station_id,station_name,line,date,hour,is_weekend,is_holiday,passenger_count
ST000,站点-000,L4号线,2026-04-01,7,0,0,43616
ST000,站点-000,L4号线,2026-04-01,8,0,0,41978
ST000,站点-000,L4号线,2026-04-01,9,0,0,18461
ST000,站点-000,L4号线,2026-04-01,12,0,0,16042
ST000,站点-000,L4号线,2026-04-01,18,0,0,39224
ST000,站点-000,L4号线,2026-04-01,19,0,0,45527
ST000,站点-000,L4号线,2026-04-01,20,0,0,14449
ST000,站点-000,L4号线,2026-04-02,7,0,0,42105
ST000,站点-000,L4号线,2026-04-02,8,0,0,43034
ST000,站点-000,L4号线,2026-04-02,9,0,0,17723
ST000,站点-000,L4号线,2026-04-02,12,0,0,14986
ST000,站点-000,L4号线,2026-04-02,18,0,0,37640
ST000,站点-000,L4号线,2026-04-02,19,0,0,43399
ST000,站点-000,L4号线,2026-04-02,20,0,0,14578
ST000,站点-000,L4号线,2026-04-03,7,0,0,43025
ST000,站点-000,L4号线,2026-04-03,8,0,0,39168
ST000,站点-000,L4号线,2026-04-03,9,0,0,14496
ST000,站点-000,L4号线,2026-04-03,12,0,0,15750
ST000,站点-000,L4号线,2026-04-03,18,0,0,36020
ST000,站点-000,L4号线,2026-04-03,19,0,0,43767
ST000,站点-000,L4号线,2026-04-03,20,0,0,18089
ST000,站点-000,L4号线,2026-04-04,7,1,0,27302
ST000,站点-000,L4号线,2026-04-04,8,1,0,29967
ST000,站点-000,L4号线,2026-04-04,9,1,0,10200
ST000,站点-000,L4号线,2026-04-04,12,1,0,13309
ST000,站点-000,L4号线,2026-04-04,18,1,0,30056
ST000,站点-000,L4号线,2026-04-04,19,1,0,29340
ST000,站点-000,L4号线,2026-04-04,20,1,0,12406
ST000,站点-000,L4号线,2026-04-05,7,1,0,29909
ST000,站点-000,L4号线,2026-04-05,8,1,0,30498
ST000,站点-000,L4号线,2026-04-05,9,1,0,10959
ST000,站点-000,L4号线,2026-04-05,12,1,0,12780
ST000,站点-000,L4号线,2026-04-05,18,1,0,29331
ST000,站点-000,L4号线,2026-04-05,19,1,0,28291
ST000,站点-000,L4号线,2026-04-05,20,1,0,10897
ST000,站点-000,L4号线,2026-04-06,7,0,0,37656
ST000,站点-000,L4号线,2026-04-06,8,0,0,45092
ST000,站点-000,L4号线,2026-04-06,9,0,0,14919
ST000,站点-000,L4号线,2026-04-06,12,0,0,15736
ST000,站点-000,L4号线,2026-04-06,18,0,0,45759
ST000,站点-000,L4号线,2026-04-06,19,0,0,37956
ST000,站点-000,L4号线,2026-04-06,20,0,0,14685
ST000,站点-000,L4号线,2026-04-07,7,0,0,36581
ST000,站点-000,L4号线,2026-04-07,8,0,0,40867
ST000,站点-000,L4号线,2026-04-07,9,0,0,15971
ST000,站点-000,L4号线,2026-04-07,12,0,0,16264
ST000,站点-000,L4号线,2026-04-07,18,0,0,35663
ST000,站点-000,L4号线,2026-04-07,19,0,0,40805
ST000,站点-000,L4号线,2026-04-07,20,0,0,18321
ST000,站点-000,L4号线,2026-04-08,7,0,0,44127
ST000,站点-000,L4号线,2026-04-08,8,0,0,43085
ST000,站点-000,L4号线,2026-04-08,9,0,0,17955
ST000,站点-000,L4号线,2026-04-08,12,0,0,18471
ST000,站点-000,L4号线,2026-04-08,18,0,0,39062
ST000,站点-000,L4号线,2026-04-08,19,0,0,42414
ST000,站点-000,L4号线,2026-04-08,20,0,0,16310
ST000,站点-000,L4号线,2026-04-09,7,0,0,35919
ST000,站点-000,L4号线,2026-04-09,8,0,0,43673
ST000,站点-000,L4号线,2026-04-09,9,0,0,14438
ST000,站点-000,L4号线,2026-04-09,12,0,0,16318
ST000,站点-000,L4号线,2026-04-09,18,0,0,47454
ST000,站点-000,L4号线,2026-04-09,19,0,0,39348
ST000,站点-000,L4号线,2026-04-09,20,0,0,14619
ST000,站点-000,L4号线,2026-04-10,7,0,0,40272
ST000,站点-000,L4号线,2026-04-10,8,0,0,40678
ST000,站点-000,L4号线,2026-04-10,9,0,0,15863
ST000,站点-000,L4号线,2026-04-10,12,0,0,19075
ST000,站点-000,L4号线,2026-04-10,18,0,0,40478
ST000,站点-000,L4号线,2026-04-10,19,0,0,44894
ST000,站点-000,L4号线,2026-04-10,20,0,0,18678
ST000,站点-000,L4号线,2026-04-11,7,1,0,28692
ST000,站点-000,L4号线,2026-04-11,8,1,0,26313
ST000,站点-000,L4号线,2026-04-11,9,1,0,11541
ST000,站点-000,L4号线,2026-04-11,12,1,0,13059
ST000,站点-000,L4号线,2026-04-11,18,1,0,25316
ST000,站点-000,L4号线,2026-04-11,19,1,0,27788
ST000,站点-000,L4号线,2026-04-11,20,1,0,12908
ST000,站点-000,L4号线,2026-04-12,7,1,0,25803
ST000,站点-000,L4号线,2026-04-12,8,1,0,28393
ST000,站点-000,L4号线,2026-04-12,9,1,0,11154
ST000,站点-000,L4号线,2026-04-12,12,1,0,10318
ST000,站点-000,L4号线,2026-04-12,18,1,0,25831
ST000,站点-000,L4号线,2026-04-12,19,1,0,32991
ST000,站点-000,L4号线,2026-04-12,20,1,0,10141
ST000,站点-000,L4号线,2026-04-13,7,0,0,41759
ST000,站点-000,L4号线,2026-04-13,8,0,0,36456
ST000,站点-000,L4号线,2026-04-13,9,0,0,18735
ST000,站点-000,L4号线,2026-04-13,12,0,0,18553
ST000,站点-000,L4号线,2026-04-13,18,0,0,44072
ST000,站点-000,L4号线,2026-04-13,19,0,0,45583
ST000,站点-000,L4号线,2026-04-13,20,0,0,14607
ST000,站点-000,L4号线,2026-04-14,7,0,0,42626
ST000,站点-000,L4号线,2026-04-14,8,0,0,41299
ST000,站点-000,L4号线,2026-04-14,9,0,0,14706
ST000,站点-000,L4号线,2026-04-14,12,0,0,15168
ST000,站点-000,L4号线,2026-04-14,18,0,0,37424
ST000,站点-000,L4号线,2026-04-14,19,0,0,43681
ST000,站点-000,L4号线,2026-04-14,20,0,0,15603
ST000,站点-000,L4号线,2026-04-15,7,0,1,36452
ST000,站点-000,L4号线,2026-04-15,8,0,1,42175
ST000,站点-000,L4号线,2026-04-15,9,0,1,16412
ST000,站点-000,L4号线,2026-04-15,12,0,1,15176
ST000,站点-000,L4号线,2026-04-15,18,0,1,40343
ST000,站点-000,L4号线,2026-04-15,19,0,1,38660
ST000,站点-000,L4号线,2026-04-15,20,0,1,18216
ST000,站点-000,L4号线,2026-04-16,7,0,0,38878
ST000,站点-000,L4号线,2026-04-16,8,0,0,41136
ST000,站点-000,L4号线,2026-04-16,9,0,0,14814
ST000,站点-000,L4号线,2026-04-16,12,0,0,17232
